id,title,artist,top genre,year,energy,danceability,liveness,acousticness,speechiness,pop
169,Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,dance pop,2013,68,66,37,25,4,70
170,Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,dance pop,2013,53,78,5,6,29,69
171,If I Lose Myself - Alesso vs OneRepublic,OneRepublic,dance pop,2013,75,52,14,26,4,69
172,The Way,Ariana Grande,dance pop,2013,88,65,8,29,11,68
173,Suit & Tie,Justin Timberlake,dance pop,2013,60,80,16,10,22,68
174,#thatPOWER,will.i.am,dance pop,2013,61,80,7,0,6,68
175,I Love It (feat. Charli XCX),Icona Pop,candy pop,2013,91,71,15,1,3,67
176,Play Hard (feat. Ne-Yo & Akon) - New Edit,David Guetta,dance pop,2013,87,72,66,4,4,67
177,Daylight,Maroon 5,pop,2013,67,66,26,0,3,66
178,Love Somebody,Maroon 5,pop,2013,78,68,12,13,4,65
179,A Little Party Never Killed Nobody (All We Got),Fergie,dance pop,2013,62,76,9,1,18,65
180,Move,Little Mix,dance pop,2013,74,85,55,0,9,63
181,Walks Like Rihanna,The Wanted,boy band,2013,82,56,10,1,6,62
182,Rock N Roll,Avril Lavigne,canadian pop,2013,96,47,34,1,13,61
183,Heartbreaker,Justin Bieber,canadian pop,2013,52,56,34,14,10,61
184,Mirrors - Radio Edit,Justin Timberlake,dance pop,2013,60,58,43,14,5,60
185,Next To Me,Emeli Sandé,dance pop,2013,80,67,11,9,4,60
186,Made In The USA,Demi Lovato,dance pop,2013,86,58,32,0,4,60
187,Clown,Emeli Sandé,dance pop,2013,23,45,11,92,4,60
188,Girl On Fire (feat. Nicki Minaj) - Inferno Version,Alicia Keys,hip pop,2013,81,55,15,9,31,59
189,TKO,Justin Timberlake,dance pop,2013,68,61,43,1,24,58
190,Come & Get It,Selena Gomez,dance pop,2013,79,55,10,1,5,57
191,Live It Up,Jennifer Lopez,dance pop,2013,73,69,33,1,17,57
192,We Own The Night,The Wanted,boy band,2013,94,55,23,1,13,56
193,Atlas - From “The Hunger Games: Catching Fire” Soundtrack,Coldplay,permanent wave,2013,45,28,11,63,3,55
194,What About Love,Austin Mahone,dance pop,2013,78,63,4,0,4,54
195,Take Back the Night,Justin Timberlake,dance pop,2013,66,59,64,4,16,54
196,Applause,Lady Gaga,dance pop,2013,78,67,11,3,5,52
197,Anything Could Happen,Ellie Goulding,dance pop,2013,78,70,14,43,3,52
198,Finally Found You,Enrique Iglesias,dance pop,2013,88,62,35,1,10,52
199,Pom Poms,Jonas Brothers,boy band,2013,98,68,28,7,9,52
200,#Beautiful,Mariah Carey,dance pop,2013,76,68,31,29,4,51
201,How Ya Doin'? (feat. Missy Elliott),Little Mix,dance pop,2013,95,36,37,9,48,50
202,Crazy Kids (feat. will.i.am),Kesha,dance pop,2013,75,72,13,4,4,46
203,"Ooh La La (from ""The Smurfs 2"")",Britney Spears,dance pop,2013,57,69,11,2,5,45
204,People Like Us,Kelly Clarkson,dance pop,2013,79,60,36,4,4,45
205,Overdose,Ciara,dance pop,2013,70,77,6,1,3,43
206,Right Now - Dyro Radio Edit,Rihanna,barbadian pop,2013,74,53,24,0,4,42
